,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
22,16,16,relu,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2CC50B80>,20,35.88261670857113,4.615144184110157,23.774241705320172,1.5846551327790765,0.6464826528280849,0.04056976883688071,0.08545420864920976,0.04738178523072204
23,16,16,relu,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A113C5D30>,20,35.905702054370714,4.469529524876959,23.69409703353861,1.7384624938883595,0.6438862784745935,0.03789786188089774,0.08329991428067293,0.04229410690181531
24,16,16,relu,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C3C58E0>,20,36.652704262045056,4.965101144372449,24.17659511108817,2.026662100959394,0.6570324257339787,0.04799667883084724,0.046775404767687975,0.058778098825732074
25,16,16,relu,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2B608D90>,20,35.84644753966985,4.146025493315692,23.82384354052655,1.6056519752391214,0.6474209771212172,0.03340632966963779,0.08529888755271928,0.026719996115010282
26,16,16,relu,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2BF79460>,20,36.21216067687452,4.510319003092145,23.91132244952062,1.490557984777293,0.6503031121763817,0.03899235477215385,0.0680446627189043,0.03626892723741909
27,16,16,relu,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2CBA5220>,20,36.17871436477152,4.556733815301688,23.96780957386033,1.7932688209804153,0.6511769207205783,0.03707093916742891,0.0698278879356038,0.04824649559834994
28,16,16,tanh,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A0F5BAAF0>,20,36.679625540867576,3.880384053611365,24.741686019243364,1.5021033756932736,0.6724858011343791,0.03133139522094079,0.04048432417191907,0.008123588835614115
29,16,16,tanh,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2F5F2B20>,20,36.3827438567037,4.193318391050469,24.500907348240354,1.7021551597452247,0.6658428043968614,0.03656020043496004,0.05754664435702299,0.02403898861536354
30,16,16,tanh,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2D6B2E20>,20,36.95313230783135,3.9216588969606505,24.951287960968227,1.0545438015108588,0.678571677416101,0.02533845879323904,0.025643645146408177,0.027073288041660218
31,16,16,tanh,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2B78BE80>,20,36.427768117142804,4.3021590201196585,24.317367028700797,1.5541728467524674,0.6610834610625823,0.03628945499186244,0.055889775349113505,0.024570905198635175
32,16,16,tanh,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2BD4C100>,20,36.63552491165858,4.271137062899441,24.769356676910146,1.5183000185035123,0.6737549867808414,0.04135024609643658,0.04357474718644068,0.051597626491540684
33,16,16,tanh,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2D27E400>,20,37.276272364215956,3.7934314674121516,25.01479193562637,1.3473412972265764,0.6799406525068632,0.026258486936817718,0.006668268742713357,0.059057006432825875
34,16,16,tanh,0.0005,<keras.optimizers.nadam.Nadam object at 0x000002398169BFA0>,20,36.69894324617426,4.393218905500666,24.610822527578012,1.4226408345457202,0.6692534598369987,0.03575315402160727,0.041560597633615505,0.04248188000952031
35,16,16,sigmoid,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A2E99D250>,20,37.68611110966603,4.09160515066738,24.94093064149875,1.3598540607695382,0.6778995727294694,0.02554285851162186,-0.01237611194852859,0.025454929943832753
