,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
47,48,20,linear,0.00042,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C26FD30>,12,0.59,35.20635972015391,4.730568075559627,23.359925362522873,1.5023796351013965,0.6354414151604855,0.04178650436089799,0.12028873868938199,0.051819943879500556
48,32,36,linear,0.00049,<keras.optimizers.adagrad.Adagrad object at 0x0000023982D70430>,39,0.52,34.866158917466024,3.954560035086313,23.24297337832143,1.329090703840967,0.6318565125854182,0.029057499437374498,0.13410349488792633,0.023602848069089133
49,39,6,linear,0.00077,<keras.optimizers.adagrad.Adagrad object at 0x0000023A03F55EE0>,43,0.87,36.15568730063786,4.278050068491555,24.16204172173122,1.1155103563434714,0.6567878999421474,0.01810569326169763,0.06987404497828224,0.029286467237924555
50,79,53,linear,0.00085,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2D3A4A30>,19,0.3,35.94436224262177,5.093796648611376,24.074388700126782,2.104497629953411,0.6549704987816619,0.05881227915814582,0.08298719994650616,0.07655581718016287
51,62,97,linear,0.00051,<keras.optimizers.adagrad.Adagrad object at 0x0000023983C6C820>,41,0.05,35.664111297712154,4.938336664915138,23.69837852590009,1.880892285502466,0.6448134258698186,0.053109217185275386,0.0965699920265971,0.07189165734054234
52,83,83,linear,0.00099,<keras.optimizers.adagrad.Adagrad object at 0x0000023A328AAE80>,38,0.57,35.44283554113833,4.726172051551739,23.626214750747785,1.8088875322844427,0.6426651377680798,0.0494924117230307,0.10762428151892234,0.05896257800678657
53,32,18,linear,0.00019,<keras.optimizers.adagrad.Adagrad object at 0x0000023A10A4FA90>,18,0.37,35.71994806336202,4.430346147285735,23.76833254103275,1.7898565312216232,0.6461559655306448,0.043809398115918226,0.09318029528880256,0.034442558141418306
54,13,35,linear,0.00077,<keras.optimizers.adagrad.Adagrad object at 0x0000023A11F862B0>,47,0.08,35.73637130829725,4.294267469962363,23.78409010073187,1.341831817916035,0.6469179066396586,0.036124791317997944,0.09103485600792323,0.04137521585953204
55,66,74,linear,0.00065,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F6DF1F0>,47,0.48,35.23683945505773,4.050215076853575,23.39256593375605,1.261187520747124,0.6360325398111863,0.02921586657869579,0.11602661779778209,0.02146235087426427
56,11,45,linear,0.00032,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BD8D910>,38,0.61,35.49740527235209,4.311546261287669,23.824934709980656,1.5436889414761437,0.6475866347533439,0.034093153352095,0.10375337349422753,0.036377808841020216
57,67,55,linear,0.00032,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C6DE2E0>,46,0.07,35.65409265412953,4.346958798287287,23.966335783635312,1.4435995675500826,0.6518702723166748,0.038732804780948746,0.09502076746433248,0.0480186701959598
58,13,76,linear,0.00096,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2A958790>,41,0.4,35.66059701357172,4.17565731465378,23.586815900993606,1.2187530489322989,0.6416042221180297,0.03420181526019526,0.09432645326801121,0.04585470227414124
59,62,73,linear,0.00087,<keras.optimizers.adagrad.Adagrad object at 0x0000023A29109C10>,26,0.63,35.41011172474829,4.630936039316908,23.704458654395836,1.455118747204838,0.6448007021084506,0.03990586556076411,0.10890825544799321,0.05517180440910127
