,neurons_CNN,neurons_dense_1,neurons_dense_2,neurons_dense_3,neurons_dense_4,activation,dropout_rate,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
21,40,83,68,148,31,hard_sigmoid,0.02,0.0054,<keras.optimizers.adadelta.Adadelta object at 0x000001944BC8F610>,7,31.380466823157683,7.828704945936869,20.231550299108417,2.3617832697424253,0.6079909314731503,0.04293250858290957,0.207260579137961,0.042321751912901336
22,67,186,160,135,187,linear,0.38,0.0038,<keras.optimizers.sgd.SGD object at 0x0000019451E7E8E0>,12,30.44041491927887,7.326303222401693,19.456028535241398,1.3334461171416498,0.5910900094382484,0.08066707584213205,0.24041352138745128,0.11731288837422212
23,65,107,53,150,50,softsign,0.21,0.0018,<keras.optimizers.nadam.Nadam object at 0x0000019456701220>,15,31.008289160402104,7.082783684795285,19.48590509042241,1.9149263440406132,0.5885093137795329,0.06127941891907999,0.21149105763834197,0.10293698465004994
24,50,15,35,185,80,tanh,0.06,0.0099,<keras.optimizers.rmsprop.RMSprop object at 0x000001944BB54100>,6,30.624009415330327,7.215351291435607,19.402008824800355,1.9400826179283674,0.585779829632896,0.0598447950651805,0.23273947272104864,0.10162024326329999
25,28,83,85,193,91,relu,0.06,0.0089,<keras.optimizers.adam.Adam object at 0x0000019448EF7280>,17,30.48430660841974,6.928604870731883,19.076207341555676,1.7214958045873199,0.577111219893096,0.06533767435021565,0.2385166366966823,0.09304062866700165
26,19,119,168,74,128,sigmoid,0.4,0.0083,<keras.optimizers.adam.Adam object at 0x000001944BD25CA0>,18,35.013515620774555,9.036680633690848,23.238596180763118,3.242190474658677,0.6943040860309787,0.022289392963323558,0.0222931408947199,0.04661691773267732
27,39,10,21,57,47,sigmoid,0.69,0.0029,<keras.optimizers.adagrad.Adagrad object at 0x000001944BB59F10>,13,36.05597566596116,7.695470134105518,24.468608247532565,1.1859371698055168,0.7455635915198237,0.11240292965132681,-0.07000418551277691,0.12785909580343174
28,42,152,143,170,179,relu,0.04,0.0033,<keras.optimizers.adadelta.Adadelta object at 0x0000019448E61E20>,7,30.811374965741486,6.285791364638898,19.419898698922076,1.6298619608467944,0.5879889839989741,0.06844657078898865,0.21377161164030256,0.11044669156973919
29,51,192,156,18,60,softsign,0.2,0.0061,<keras.optimizers.adam.Adam object at 0x0000019456701070>,17,30.97278869991852,7.330387231101858,19.51178324861464,1.8820761997474342,0.5893965705175273,0.06143516762150686,0.21559912486566418,0.10286103004702864
30,62,103,93,192,154,softplus,0.13,0.0066,<keras.optimizers.rmsprop.RMSprop object at 0x000001945A2A2610>,12,30.735899519015458,7.524494559926117,19.59011764814651,1.8785777438129208,0.5928261214057396,0.0712394159087213,0.22825793420582788,0.11071270520126608
31,43,141,150,195,64,hard_sigmoid,0.78,0.0051,<keras.optimizers.adagrad.Adagrad object at 0x000001944B5DC5B0>,16,36.0261173977391,7.728423798355578,24.343358610658086,1.2228695353018006,0.7416121953650553,0.11127480923347166,-0.06732766373686269,0.12373339948576066
32,15,127,48,27,78,softplus,0.42,0.0022,<keras.optimizers.adagrad.Adagrad object at 0x0000019448E330D0>,7,32.228566255628245,8.529279523264174,21.06407157463186,2.3444542086049887,0.6331270515051328,0.04190346598815643,0.17031487552672184,0.04157604820098908
33,76,200,29,136,22,relu,0.84,0.0071,<keras.optimizers.sgd.SGD object at 0x000001945A091D00>,10,35.95237232590212,7.820417566262079,24.107260695158267,1.4223816447003317,0.7333594663322709,0.10437244887297031,-0.060170849036792796,0.11017825522781
34,18,184,163,134,69,sigmoid,0.13,0.0044,<keras.optimizers.nadam.Nadam object at 0x000001945A17BE20>,6,31.381853103522275,8.515525216762192,20.009605294271232,2.7746941756831314,0.599493484522083,0.03972530460127498,0.21330592757877903,0.06458276320745726
35,16,200,23,59,177,sigmoid,0.44,0.0085,<keras.optimizers.adam.Adam object at 0x0000019451EC5220>,8,35.07296497065234,9.091403919295438,23.11476997035781,3.2551905430359587,0.6904518510737411,0.02195111703295774,0.01963258761198634,0.05233745170511445
36,45,16,123,112,61,linear,0.98,0.0072,<keras.optimizers.adagrad.Adagrad object at 0x000001944BA4A1F0>,15,35.952347189508274,7.809200268921003,24.090744167994828,1.30562631768208,0.7334249032265705,0.10742808349064104,-0.06049900584329948,0.111970702870606
