,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,dropout_rate,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
27,90,13,softplus,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x00000169DFEF7B80>,49,0.43,31.073119278599904,7.7810682256644705,20.216388487426283,1.9874767303377918,0.6099620106025767,0.057353024765236245,0.22037406475524107,0.06660322409213958
28,40,10,softplus,0.00088,<keras.optimizers.adagrad.Adagrad object at 0x00000169E19BFB20>,14,0.64,32.92323171522333,9.180648188414583,22.000944733931348,2.496168749680687,0.6631113420247512,0.06441428501834219,0.13251974587458212,0.09502263610935326
29,58,67,softplus,8e-05,<keras.optimizers.adagrad.Adagrad object at 0x00000169E19CC040>,36,0.89,33.8773766871026,7.549004262155037,23.10380332485523,1.5680744076361628,0.7065804502118619,0.12924353395981872,0.04421486930100922,0.1980732306472037
30,59,88,softplus,0.00023,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA9B80D0>,8,0.43,31.102452895798923,6.601445079852743,20.116075874855316,1.8096993104154162,0.6084829085654693,0.06807936029154049,0.19523031596262683,0.14782974540281063
31,33,24,softplus,0.00049,<keras.optimizers.adagrad.Adagrad object at 0x00000169DB25D790>,22,0.03,31.271284339257193,6.455977556692518,19.72640260715111,1.797599392699399,0.5981247737999962,0.07943659157316652,0.18459792090036659,0.15383207293674858
32,9,56,softplus,0.00016,<keras.optimizers.adagrad.Adagrad object at 0x00000169DDBD76A0>,12,0.65,31.330993872612645,7.848125406173641,20.029367660696987,2.058039713532297,0.6042822925581317,0.05896989057723483,0.20656718453837622,0.0748845071291111
33,24,76,softplus,0.00085,<keras.optimizers.adagrad.Adagrad object at 0x00000169E04851C0>,27,0.3,31.44705791889196,6.729302444092724,19.787837619095846,1.8701826758310889,0.5974135271115253,0.05807945096680577,0.1877525504721416,0.08638533036041218
34,73,93,softplus,0.00088,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA6C9B50>,35,0.06,31.381483388263224,6.530214717772251,19.784319678241133,2.1541912144178563,0.5967776301389698,0.06080803564464656,0.18440824535172035,0.12382487415689603
35,94,85,softplus,0.00058,<keras.optimizers.adagrad.Adagrad object at 0x00000169D5875EE0>,44,0.34,30.767850306206128,6.618451121368293,19.376488982618245,1.8238926540773628,0.586162579823325,0.06797413477393084,0.2177904455332933,0.1177226840144077
36,51,10,softplus,0.00037,<keras.optimizers.adagrad.Adagrad object at 0x00000169DAF0C9D0>,31,0.69,33.1178702010201,8.309330252132964,21.85012656987882,2.2142838423803735,0.6593958419930305,0.06547438411011516,0.11558938693223315,0.08297806639943917
37,93,68,softplus,9e-05,<keras.optimizers.adagrad.Adagrad object at 0x00000169DDA41FA0>,26,0.24,30.903656816191898,6.712227871422992,19.433418402562733,1.8314133687848053,0.5869486078644244,0.059326978813457915,0.2133817127668854,0.10480643299774425
38,73,31,softplus,0.00056,<keras.optimizers.adagrad.Adagrad object at 0x00000169DAAB9790>,15,0.24,30.5406718645556,7.020355876718533,19.227922545305262,1.8788545675725647,0.580879191085177,0.06180561691284712,0.23904354791031907,0.07365151402918384
39,36,10,softplus,0.00068,<keras.optimizers.adagrad.Adagrad object at 0x00000169DB13D4C0>,18,0.65,32.16965186276783,8.226714252487387,21.039203382239624,1.7947323303865481,0.6366280338309926,0.07107613663882957,0.16603914850863605,0.07107270516738942
40,98,75,softplus,0.00034,<keras.optimizers.adagrad.Adagrad object at 0x00000169E1A2CC70>,14,0.84,31.455053962559155,7.643993818164745,20.4236869032866,1.629857399000894,0.6190405861916852,0.076218805130227,0.19517284526079526,0.09032192839491372
41,88,20,softplus,0.00069,<keras.optimizers.adagrad.Adagrad object at 0x00000169E0677A90>,42,0.76,32.91377769452521,8.449464772437473,21.600583062062856,2.6995400053029135,0.6492849996153099,0.05599389199962917,0.13058762625122294,0.07988393150758386
42,53,54,softplus,0.0001,<keras.optimizers.adagrad.Adagrad object at 0x00000169D70DF220>,19,0.88,33.22036646941276,7.466136190870735,22.283744131817535,2.090245516809073,0.6747368947293948,0.08306975461210757,0.09738232851160764,0.1001242787242506
43,38,92,softplus,0.00022,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA7084C0>,7,0.74,30.688186583418876,7.302870010097862,19.765983404053582,2.0127315847945475,0.5963368424594002,0.057907470687131764,0.2371333853408671,0.04978780410618778
44,90,58,softplus,0.00058,<keras.optimizers.adagrad.Adagrad object at 0x00000169E055FA90>,6,0.45,30.37144912474979,6.580576108843331,19.343765644777832,1.4680278312828257,0.5869246342294556,0.07619525121811019,0.23321773137993737,0.14437246568822437
45,97,43,softplus,0.00064,<keras.optimizers.adagrad.Adagrad object at 0x00000169E1A2B8B0>,12,0.28,30.629489089663785,6.575578968058101,19.185861570616954,1.6646290532097054,0.5814608716483824,0.0736757214998006,0.22193573393291494,0.13375110288247863
46,50,8,softplus,0.00037,<keras.optimizers.adagrad.Adagrad object at 0x00000169E054F3A0>,8,0.01,31.527966132456633,7.38186956643034,20.31438523920533,2.64326660854982,0.6108117912673225,0.05681510434793762,0.19108301866870891,0.0750077880676432
47,25,12,softplus,4e-05,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA744A90>,36,0.47,31.86922001661016,8.002005704642826,20.639562085485146,1.4422546986001854,0.6262910757428823,0.0794841765750474,0.17506999709123677,0.10184091002001275
48,93,18,softplus,0.00061,<keras.optimizers.adagrad.Adagrad object at 0x00000169DADA7040>,12,0.82,32.67881398823765,7.5030852785347975,21.94816782225191,1.6716533487568108,0.6657146897268794,0.08448215977251798,0.1282571487702093,0.08650080559418696
49,33,23,softplus,0.00093,<keras.optimizers.adagrad.Adagrad object at 0x00000169E050CD30>,28,0.79,32.56373375001379,9.349905369897819,21.726120481382008,2.605284423863084,0.6546615424630742,0.06621918593043633,0.15321951360034286,0.10345660046618894
50,16,64,softplus,0.00029,<keras.optimizers.adagrad.Adagrad object at 0x00000169D58746A0>,12,0.02,30.927091366785028,6.558125765516898,19.461391511695837,2.1369940120220114,0.5860057391524695,0.04990989337535435,0.21479777819142534,0.07598575588204824
51,83,86,softplus,0.00014,<keras.optimizers.adagrad.Adagrad object at 0x00000169DAC83B50>,7,0.65,30.804835806927837,7.009487103926175,19.837137342278474,1.8359311489976584,0.6018475545269107,0.08386996493186206,0.2179092529274001,0.12534813814060553
52,76,20,softplus,0.00016,<keras.optimizers.adagrad.Adagrad object at 0x00000169E07434C0>,24,0.56,31.023655145448657,7.225164104364899,20.197520707167833,1.6871724819170801,0.6114198087208942,0.06986419233410396,0.21423499246194053,0.08867183674383682
53,37,33,softplus,0.00026,<keras.optimizers.adagrad.Adagrad object at 0x00000169D4185850>,19,0.55,30.830937734409538,7.702179315097453,19.80097446535148,2.3209416590624348,0.5955343330668956,0.0482646152844927,0.23516147141506955,0.033119083531753774
54,36,92,softplus,0.00054,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA5C76A0>,16,0.31,31.691131392428776,6.327569326389379,20.36715940517538,1.8096602646457443,0.6157239586126513,0.06506474958320128,0.1696693397285923,0.099617180081187
55,66,59,softplus,0.00092,<keras.optimizers.adagrad.Adagrad object at 0x00000169DDBEB970>,27,0.04,30.88267896363568,6.708888311998485,19.254095729503756,1.816368797404063,0.5813621958892604,0.057064256420326635,0.21425356166612614,0.10568860010696152
56,56,89,softplus,0.00022,<keras.optimizers.adagrad.Adagrad object at 0x00000169DED771F0>,18,0.35,30.314597199093146,6.881736069162746,19.03543952539855,2.073291462824161,0.5745104847721771,0.061388006727902976,0.24883118102048413,0.08143708424058013
57,38,16,softplus,0.00053,<keras.optimizers.adagrad.Adagrad object at 0x00000169D95CC4C0>,44,0.31,30.814122053906875,6.912820600777315,19.98972971532859,1.7484790517001225,0.6056625807898554,0.07548864496764375,0.21923827764574416,0.10906697421718521
58,79,62,softplus,0.00061,<keras.optimizers.adagrad.Adagrad object at 0x00000169D71EC4F0>,21,0.38,30.589154225530972,6.799508325687391,19.294024796267742,1.9066044042206294,0.5821222515498556,0.055082427836679805,0.23218837640944007,0.09237584576777388
59,30,94,softplus,0.00089,<keras.optimizers.adagrad.Adagrad object at 0x00000169DDBD7D30>,29,0.4,30.85676521382618,6.928934044591276,19.532571393602034,1.979580048481905,0.5891377245085809,0.05535197028575742,0.22259701143355617,0.06857033536397623
