,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
22,16,16,relu,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A109D7910>,20,30.82636667670396,7.3127710011298355,19.71784231912077,2.5697239796757976,0.5924831064292432,0.05108086888437979,0.22704754729596388,0.07636756144038431
23,16,16,relu,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2D5933D0>,20,31.600782203887128,6.82747871252783,20.39584150703904,2.0496325172191296,0.6158127359719446,0.0635594138696997,0.1773308879341447,0.10984970068058175
24,16,16,relu,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2E895250>,20,31.514083314453025,6.648722767231118,20.142424596914278,1.8135035050474888,0.6088484805715686,0.06405393992904754,0.18058344553827194,0.10804842305030037
25,16,16,relu,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A12048A00>,20,31.888765337775812,6.696055489126334,20.456540096273606,1.7392701101915304,0.6198779598825583,0.07701743781770948,0.15903177753111988,0.12305406000480291
26,16,16,relu,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A30E635E0>,20,31.37433007846347,7.042302294833871,19.91308315610574,2.056380619790549,0.5998583336470331,0.04915663700136883,0.19602984098480747,0.0727972216306711
27,16,16,relu,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2BB07EE0>,20,30.959123862697787,7.06613934933715,19.66543139694563,1.9948562769816678,0.5940103297269188,0.0641206529310055,0.217262873722132,0.07980832809884783
28,16,16,tanh,0.0005,<keras.optimizers.sgd.SGD object at 0x00000239D05D7850>,20,31.897892589779683,6.612659866213701,20.204712202346407,1.5902256194722262,0.6131071224608936,0.08116977647086826,0.15510783022373814,0.1394467870915842
29,16,16,tanh,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2E9A5B20>,20,31.23639720193242,6.90468387898186,20.066971317693298,1.7590990922564111,0.6078505103420152,0.0746663885039154,0.1905971651618505,0.15027753412000702
30,16,16,tanh,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A043803A0>,20,31.327212597995953,7.124782795581506,19.98593794224309,2.0397574633674456,0.6031127322681213,0.05988321447156525,0.19215693956461238,0.12301247047105877
31,16,16,tanh,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2FEE0F40>,20,31.52317799004561,6.936127410796531,20.25314664856281,1.9531952539438544,0.6121020368395442,0.06677704104001134,0.18058990722279716,0.1205282322035111
32,16,16,tanh,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2AD17B20>,20,31.51628908016998,6.88807806537119,20.112113126976038,1.7836450789271892,0.6087339597019276,0.0709978794229512,0.18020002797068846,0.12366743263827655
33,16,16,tanh,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2C6952B0>,20,31.731619658654928,6.897572447177763,20.372942383850322,1.726220143490156,0.6169710688807544,0.0733343900171357,0.16928111309347504,0.12077327908843519
