,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
14,16,16,softsign,0.0005,<keras.optimizers.sgd.SGD object at 0x00000239D56D6730>,20,36.42417928893091,6.5505430903593265,23.82046546822484,1.7469186137147021,0.7234301672951429,0.08851904026604299,-0.11111198093807961,0.1892028452196019
15,16,16,softsign,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A2BBD1070>,20,36.136688046001964,6.74865392496866,23.658769324931914,2.0373218628805847,0.7166453586598441,0.07668510659377945,-0.08850146189326073,0.16784307789952915
16,16,16,softsign,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A10F4AB80>,20,36.48168338449689,6.497530778044725,23.79287343358274,1.8384921241570356,0.7218380574647059,0.08337310906644207,-0.11441155078486005,0.18481698542291342
17,16,16,softsign,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A290778B0>,20,36.16175209867031,6.967849550901917,23.52639936234693,2.3775040452766394,0.7101235980607087,0.059998820826644934,-0.08050812977604596,0.11842525816910034
18,16,16,softsign,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A2E4D2F10>,20,36.20351611967776,6.822015074414461,23.684303424311928,2.115938328591345,0.7168663982441253,0.07329880604116644,-0.08966155258466087,0.15331667407355856
19,16,16,softsign,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A043FE760>,20,36.0639749505374,6.552802578570159,23.57089740602993,1.9697055523970042,0.7144691741753288,0.07975692873681801,-0.08660102683395199,0.17255310353551992
20,16,16,softsign,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2CBA5070>,20,36.32427222058928,6.6730007844586705,23.6411204082871,1.836142121326561,0.7166950865845314,0.0778772006947091,-0.09950806816806448,0.1610814798881689
21,16,16,relu,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A03F552B0>,20,35.900037184185614,6.0332313754949825,23.59048070423561,1.8224490378208764,0.7156692679066516,0.08229403962656011,-0.08477852973770253,0.19361869859645864
22,16,16,relu,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A1087A430>,20,36.42542941988104,6.092028872647515,24.08923698629895,1.6049621478914435,0.7324230866032129,0.09393041016190197,-0.12242242700818054,0.23125193278531894
23,16,16,relu,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023983F2E9A0>,20,35.93023062534138,6.747841346945432,23.513444036648597,1.9441817903607865,0.713294814248408,0.08451696047124593,-0.07716489183761625,0.17586684550214082
24,16,16,relu,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023983BDEA90>,20,36.916549569020056,5.509381424863945,24.655626592942227,0.946098724064076,0.7587365886665218,0.1553346038484455,-0.17907665585260327,0.3434202711535669
25,16,16,relu,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A043649A0>,20,35.96242407961046,6.202859288308798,23.292007247867247,1.750593205129251,0.7071879604258239,0.08563687032763914,-0.0886737395199245,0.20420976549484715
26,16,16,relu,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A043738B0>,20,36.1949784760008,6.438882949035484,23.740727955602324,1.4351155037058396,0.722763405666152,0.09832713216627481,-0.1034184662516124,0.22031322075782156
27,16,16,relu,0.0005,<keras.optimizers.nadam.Nadam object at 0x00000239F20ADA30>,20,35.91038099521528,6.874809157811264,23.37517301548983,1.9094094923189535,0.7079154816274525,0.07196097602825456,-0.06846218720336006,0.13265364756113596
28,16,16,tanh,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A03FBB1F0>,20,36.25212074669439,6.066108565954318,24.12530095037348,1.2931632037655942,0.7364574287557103,0.11350879716053547,-0.11608223944606114,0.25358696174316075
29,16,16,tanh,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023A10A881C0>,20,35.61348748594385,7.068815790655854,23.507463486528856,2.5442131461229573,0.7080652394957919,0.0484511230876015,-0.045284067663507746,0.10616669264511323
30,16,16,tanh,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A11B82CD0>,20,36.61317497439636,6.053141236009291,24.197013910945067,1.3198657304313361,0.7375900993860948,0.10569179016173373,-0.13565171361124503,0.2397419956006663
31,16,16,tanh,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023982D44C10>,20,36.52783208000956,6.402489158191001,24.122519574336717,1.6821943504294483,0.7324527477441272,0.08645113393664733,-0.11939078201331296,0.19299498279971863
32,16,16,tanh,0.0005,<keras.optimizers.adam.Adam object at 0x00000239847DFC10>,20,36.21642253887718,6.407251413319046,23.934734872459547,1.5042481362017899,0.7280435506604314,0.09478562559067137,-0.10015588697469355,0.19159230793376048
33,16,16,tanh,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A29AABEE0>,20,35.80860423471965,6.421904249538551,23.78590761361037,1.7446181828241276,0.7221157071459359,0.08590527489517616,-0.07639790505553372,0.1971733481423823
34,16,16,tanh,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2EB5BE20>,20,36.28302404788309,6.276428163616766,24.030666868610147,1.8114246614160656,0.7289094362362881,0.08151431673860858,-0.10347667054677075,0.17947172084577243
35,16,16,sigmoid,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A0F4A5C70>,20,36.051631876532525,7.640919480225191,23.725385342900154,2.379030462499358,0.71583636892286,0.056648479785824,-0.06125048666916446,0.06951245890716629
36,16,16,sigmoid,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x00000239FCFA41F0>,20,35.797621834427396,7.854930054217197,23.653398276738507,2.9281505842199826,0.7101236007255288,0.034148351347544806,-0.042586937939108435,0.06041911033253654
37,16,16,sigmoid,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BB864C0>,20,36.46773265230119,6.836393475254241,24.3944699062248,1.8524515161188602,0.739903926230135,0.08296118002462428,-0.10889367453372398,0.17501731455691583
38,16,16,sigmoid,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x00000239FD0064F0>,20,35.86767051068192,7.627237091520677,23.728053918333536,2.1892918142867583,0.7170892292269299,0.06381417103039143,-0.05182610888060211,0.07728385467282878
39,16,16,sigmoid,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A10EFAE20>,20,36.23874340449777,7.08318639885539,23.8961889779414,2.052414492038359,0.7232698210502784,0.07153741465390995,-0.08639450388258667,0.13410252245843232
40,16,16,sigmoid,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2D2BBA30>,20,36.009845097576175,7.178567004211494,23.973733633750427,2.0806992666023594,0.7253500790534595,0.0697313146094433,-0.06988075901736157,0.12056930169805653
41,16,16,sigmoid,0.0005,<keras.optimizers.nadam.Nadam object at 0x00000239DA953AF0>,20,36.279891072920485,7.101132466040108,24.294405401572607,1.9596988103023723,0.7361566073245557,0.07808095946986568,-0.0876606824854039,0.12742378969720888
42,16,16,hard_sigmoid,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A1068C910>,20,35.8263173368597,7.2577183862112165,23.92772314172125,2.035392021619563,0.7243233398997695,0.07219189827792791,-0.05609116920134163,0.10492056726788411
43,16,16,hard_sigmoid,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x0000023983F25220>,20,36.532413008551444,6.827719981273904,24.48630547018797,1.459979603785959,0.7459142062156683,0.10489407707209063,-0.11523813751351102,0.19032399352119161
44,16,16,hard_sigmoid,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A0450D880>,20,35.70055343417153,7.698688309138321,23.991930882876467,2.4462668270547416,0.7239551823969581,0.059321811631310055,-0.0419306746191872,0.09139029109797242
45,16,16,hard_sigmoid,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023A0B152BB0>,20,35.75769116245509,7.365341370871869,23.777393579632168,1.964193713719238,0.720206409379547,0.07489158033188602,-0.053208624039281685,0.1233165756610232
46,16,16,hard_sigmoid,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A11270310>,20,36.31047091884632,6.895312048249887,24.434964313245437,1.4466022221776476,0.7435831740325823,0.09794402932849673,-0.0977145839737609,0.16889273309881941
47,16,16,hard_sigmoid,0.0005,<keras.optimizers.adamax.Adamax object at 0x0000023A2C7C2F70>,20,35.82099544681863,7.23394144385774,23.733629683286566,2.1046595363829255,0.717738110246481,0.06659683751549325,-0.05732616513797213,0.11390464753942252
48,16,16,hard_sigmoid,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A1129B040>,20,35.899759049282636,7.18800177410429,23.84946191846327,2.2827336164232794,0.7203963417515948,0.062482251978387485,-0.06335048663846203,0.12180961381410087
49,16,16,linear,0.0005,<keras.optimizers.sgd.SGD object at 0x0000023A2EAA3940>,20,35.79988120904991,6.273299447733736,23.761849526644735,1.6834688185749134,0.7216616851406793,0.087139497050953,-0.07320089317785394,0.1720624980054914
50,16,16,linear,0.0005,<keras.optimizers.rmsprop.RMSprop object at 0x00000239FB849A30>,20,36.32471067505826,6.202479368773633,24.04022948183183,1.9476833369998303,0.7282851612829508,0.07537419591572808,-0.10660605746362817,0.17851930295387353
51,16,16,linear,0.0005,<keras.optimizers.adagrad.Adagrad object at 0x0000023A08B54550>,20,35.732076378872215,6.474724510278508,23.57062921487418,2.2828189413385993,0.7117444653791609,0.06011690198313588,-0.06168220130557269,0.13509306605656068
52,16,16,linear,0.0005,<keras.optimizers.adadelta.Adadelta object at 0x0000023982DA1C40>,20,35.27081527588741,6.7652846785346235,23.297179877549368,2.1017588293394307,0.7050157612104464,0.07112314380594517,-0.03398395338842595,0.15095327506422826
53,16,16,linear,0.0005,<keras.optimizers.adam.Adam object at 0x0000023A29847EE0>,20,35.74783121271442,6.084659341987161,23.670002459862268,1.5191718043570945,0.7199756530561758,0.09412259514245858,-0.0761727740545507,0.20002491440945674
54,16,16,linear,0.0005,<keras.optimizers.adamax.Adamax object at 0x00000239F209AAF0>,20,35.61251848245827,6.341008525772632,23.570233526274336,2.03144499354915,0.7132190639536589,0.06904433050072313,-0.05853213824204353,0.15360008400550929
55,16,16,linear,0.0005,<keras.optimizers.nadam.Nadam object at 0x0000023A2CFA4B50>,20,35.71115406081951,6.007771136100676,23.762918772175475,1.4400817081600719,0.7230157105679582,0.09471405470370327,-0.07560744830326309,0.20526554498652297
