,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
34,57,15,linear,0.00058,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2E6F8B20>,44,0.92,34.41530661742429,7.507201229620227,23.137062367647275,1.3365130192105816,0.7044094361649954,0.09515269678313953,0.02907594555972981,0.10600596961320038
35,99,47,linear,0.00031,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2DFAAA90>,5,0.81,33.62225063457505,6.850258553971341,22.25830927298589,1.9308556519986555,0.6743300116790086,0.07334082898107197,0.06829263513026769,0.10572941402601649
36,8,37,linear,0.00047,<keras.optimizers.adadelta.Adadelta object at 0x00000239CD512340>,48,0.9,34.50612540423269,7.399980435583806,22.880418067340827,1.9537258617479554,0.6926169730558743,0.06920485857633081,0.025666032485408198,0.08503541354207446
37,38,21,linear,8e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A120F7820>,45,0.39,35.06929955522919,6.925453539794577,23.296706110693954,1.820880603866527,0.7060718511981579,0.07512782322167183,-0.019204271256223548,0.14093278775232027
38,48,20,linear,0.00024,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2BA1EF10>,7,0.49,34.38075576441865,6.8397799643844595,22.69878188778703,2.126895891971897,0.6861681390621902,0.06380023937322295,0.024729202473472524,0.10796627482948519
39,98,95,linear,0.00052,<keras.optimizers.adadelta.Adadelta object at 0x0000023983B07D90>,13,0.15,35.63899885377868,5.985742536714765,23.432972149172606,1.9337881646005772,0.7094502771399779,0.07032084256797776,-0.06717926865529392,0.17871228390454846
40,97,68,linear,0.00043,<keras.optimizers.adadelta.Adadelta object at 0x000002398326C5B0>,42,0.59,34.48804881684942,6.656317925585813,22.62583687499979,2.1911978662922498,0.6832615835856006,0.05822263038368521,0.017565420336668015,0.10393536976854187
41,16,43,linear,0.00038,<keras.optimizers.adadelta.Adadelta object at 0x0000023A04554550>,8,0.57,34.598334461431975,7.1620759800146025,22.73858726159241,2.3892771027036557,0.6855956958565511,0.05242370390839292,0.015755192004407337,0.10264459330021654
42,5,89,linear,0.00023,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2EAA1250>,18,0.59,35.8889373725241,6.2897530875770995,23.645012117985015,1.4686188858823637,0.7209308892864649,0.1076824847933387,-0.0956492784365149,0.2719275354055955
43,87,33,linear,3e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A10E85B80>,8,0.41,35.07412125218864,6.494791749824075,22.944697603934745,1.993652518709052,0.6943036247464873,0.0676756868346568,-0.023298318232163884,0.14057415960251193
