iter	Passed	Remaining
586	53470	37620
587	53562	37530
588	53650	37436
589	53742	37346
590	53830	37252
591	53920	37161
592	54012	37071
593	54099	36976
594	54187	36884
595	54277	36792
596	54368	36700
597	54459	36609
598	54554	36521
599	54643	36429
600	54733	36337
601	54824	36246
602	54920	36158
603	55014	36068
604	55101	35975
605	55188	35881
606	55276	35788
607	55367	35697
608	55456	35605
609	55544	35512
610	55637	35422
611	55725	35328
612	55813	35236
613	55906	35146
614	55997	35055
615	56093	34967
616	56193	34881
617	56285	34791
618	56377	34700
619	56470	34611
620	56562	34520
621	56652	34428
622	56747	34340
623	56837	34248
624	56928	34157
625	57021	34067
626	57109	33974
627	57199	33882
628	57293	33793
629	57383	33701
630	57475	33610
631	57565	33519
632	57653	33426
633	57740	33333
634	57832	33242
635	57920	33149
636	58010	33057
637	58101	32966
638	58187	32872
639	58274	32779
640	58367	32689
641	58454	32596
642	58541	32502
643	58640	32416
644	58729	32324
645	58818	32232
646	58914	32143
647	59001	32050
648	59086	31956
649	59177	31864
650	59264	31771
651	59350	31677
652	59441	31586
653	59529	31494
654	59616	31401
655	59707	31310
656	59800	31219
657	59888	31127
658	59986	31039
659	60076	30948
660	60165	30856
661	60261	30768
662	60350	30675
663	60441	30584
664	60541	30498
665	60640	30411
666	60730	30319
667	60827	30231
668	60920	30141
669	61011	30050
670	61105	29960
671	61196	29869
672	61287	29778
673	61378	29687
674	61471	29597
675	61561	29505
676	61655	29415
677	61740	29322
678	61830	29230
679	61921	29139
680	62013	29048
681	62104	28957
682	62198	28868
683	62288	28776
684	62377	28684
685	62472	28595
686	62562	28503
687	62648	28410
688	62739	28319
689	62827	28226
690	62920	28136
691	63024	28051
692	63114	27959
693	63210	27870
694	63307	27782
695	63399	27691
696	63492	27601
697	63586	27511
698	63684	27423
699	63774	27332
700	63876	27245
701	63968	27154
702	64061	27064
703	64155	26974
704	64247	26883
705	64339	26792
706	64433	26702
707	64523	26611
708	64617	26521
709	64713	26432
710	64802	26340
711	64894	26249
712	64994	26162
713	65087	26071
714	65181	25981
715	65273	25890
716	65366	25800
717	65458	25709
718	65554	25619
719	65650	25530
720	65738	25438
721	65836	25349
722	65928	25258
723	66019	25167
724	66117	25079
725	66212	24989
726	66305	24898
727	66403	24809
728	66496	24719
729	66595	24631
730	66694	24542
731	66786	24451
732	66878	24360
733	66976	24271
734	67069	24181
735	67160	24090
736	67255	24000
737	67347	23909
738	67439	23818
739	67534	23728
740	67631	23638
741	67725	23548
742	67828	23461
743	67920	23370
744	68012	23279
745	68105	23188
746	68199	23098
747	68292	23007
748	68386	22917
749	68478	22826
750	68573	22736
751	68673	22647
752	68765	22556
753	68860	22466
754	68957	22377
755	69046	22284
756	69137	22193
757	69234	22103
758	69327	22013
759	69420	21922
760	69522	21834
761	69616	21743
762	69708	21652
763	69806	21563
764	69898	21472
765	69993	21381
766	70089	21291
767	70193	21204
768	70286	21113
769	70384	21023
770	70482	20934
771	70579	20844
772	70673	20754
773	70772	20664
774	70870	20575
775	70972	20487
776	71070	20397
777	71161	20305
778	71256	20215
779	71350	20124
780	71474	20042
781	71579	19954
782	71686	19867
783	71784	19777
784	71876	19685
785	71976	19596
786	72069	19505
787	72168	19415
788	72266	19326
789	72361	19235
790	72454	19144
791	72553	19054
792	72648	18963
793	72741	18872
794	72841	18783
795	72934	18691
796	73023	18599
797	73120	18509
798	73217	18418
799	73315	18328
800	73418	18240
801	73517	18150
802	73608	18058
803	73705	17968
804	73795	17875
805	73886	17784
806	73982	17693
807	74077	17602
808	74171	17511
809	74273	17422
810	74368	17331
811	74464	17240
812	74560	17149
813	74651	17058
814	74742	16966
815	74832	16874
816	74924	16782
817	75015	16690
818	75114	16600
819	75205	16508
820	75307	16419
821	75415	16330
822	75506	16238
823	75598	16147
824	75690	16055
825	75775	15962
826	75866	15870
827	75964	15780
828	76054	15687
829	76144	15595
830	76236	15504
831	76324	15411
832	76411	15319
833	76499	15226
834	76587	15133
835	76681	15042
836	76781	14952
837	76879	14862
838	76968	14769
839	77057	14677
840	77142	14584
841	77232	14492
842	77326	14401
843	77415	14309
844	77506	14217
845	77600	14125
846	77691	14033
847	77784	13942
848	77881	13851
849	77968	13759
850	78058	13667
851	78155	13576
852	78253	13485
853	78350	13394
854	78443	13303
855	78531	13210
856	78618	13118
857	78712	13027
858	78802	12934
859	78891	12842
860	78984	12751
861	79079	12660
862	79170	12568
863	79265	12477
864	79354	12384
865	79441	12292
866	79537	12201
867	79628	12109
868	79717	12017
869	79811	11925
870	79903	11834
871	79992	11742
872	80084	11650
873	80174	11558
874	80264	11466
875	80371	11376
876	80471	11286
877	80566	11194
878	80661	11103
879	80750	11011
880	80843	10919
881	80941	10828
882	81035	10737
883	81127	10645
884	81222	10554
885	81314	10462
886	81403	10370
887	81502	10279
888	81591	10187
889	81678	10095
890	81779	10004
891	81867	9912
892	81955	9819
893	82046	9728
894	82133	9635
895	82216	9542
896	82305	9450
897	82391	9358
898	82480	9266
899	82577	9175
900	82673	9083
901	82763	8992
902	82857	8900
903	82945	8808
904	83036	8716
905	83130	8625
906	83222	8533
907	83313	8441
908	83405	8349
909	83503	8258
910	83592	8166
911	83686	8074
912	83778	7983
913	83866	7891
914	83953	7798
915	84053	7707
916	84143	7616
917	84236	7524
918	84331	7432
919	84418	7340
920	84507	7248
921	84601	7157
922	84690	7065
923	84783	6973
924	84869	6881
925	84958	6789
926	85046	6697
927	85147	6606
928	85243	6514
929	85332	6422
930	85421	6330
931	85510	6238
932	85604	6147
933	85692	6055
934	85783	5963
935	85870	5871
936	85957	5779
937	86050	5687
938	86146	5596
939	86238	5504
940	86332	5413
941	86433	5321
942	86524	5229
943	86616	5138
944	86712	5046
945	86804	4955
946	86906	4863
947	87003	4772
948	87095	4680
949	87185	4588
950	87282	4497
951	87379	4405
952	87467	4313
953	87559	4221
954	87651	4130
955	87745	4038
956	87837	3946
957	87930	3854
958	88019	3763
959	88112	3671
960	88205	3579
961	88296	3487
962	88387	3395
963	88479	3304
964	88567	3212
965	88659	3120
966	88748	3028
967	88838	2936
968	88933	2845
969	89023	2753
970	89125	2661
971	89224	2570
972	89313	2478
973	89402	2386
974	89497	2294
975	89589	2203
976	89685	2111
977	89789	2019
978	89884	1928
979	89981	1836
980	90078	1744
981	90170	1652
982	90266	1561
983	90365	1469
984	90463	1377
985	90559	1285
986	90652	1194
987	90751	1102
988	90841	1010
989	90937	918
990	91024	826
991	91113	734
992	91202	642
993	91293	551
994	91385	459
995	91482	367
996	91577	275
997	91668	183
998	91762	91
999	91850	0
