,neurons_layer,activation_layer,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
14,54,relu,0.00018,<keras.optimizers.adam.Adam object at 0x0000023983FE8490>,30,0.69,30.721526072108258,7.049746673347373,19.862979129482717,1.5544337394428838,0.6020726880622544,0.07370313041781723,0.2270852400929145,0.09607973611497524
15,82,relu,0.0003,<keras.optimizers.adam.Adam object at 0x00000239CDA06610>,34,0.85,30.20728735406768,7.333319448775837,19.47475616846209,1.795659388979028,0.5883360794749105,0.05965532835089234,0.2606544860605622,0.06193759716373826
16,75,relu,0.00082,<keras.optimizers.adam.Adam object at 0x00000239D0A173A0>,26,0.55,30.133997289637556,6.701865837452409,19.195136628197687,1.6720039980176207,0.5813257617069291,0.07011293178638281,0.25624391579292427,0.081020865419587
17,52,relu,0.00017,<keras.optimizers.adam.Adam object at 0x00000239D0EB8EE0>,41,0.98,35.79205920158877,7.780149309201836,24.22771889914095,1.2875410550312345,0.7376919838744158,0.10826582685052914,-0.05252569144677892,0.12160113669119912
18,92,relu,0.00084,<keras.optimizers.adam.Adam object at 0x0000023984889730>,13,0.15,30.703804771908892,6.7717200235625965,19.138526273630802,2.149748714714828,0.5764002133960424,0.05178405382639951,0.22771387961537623,0.08431781758269842
19,41,relu,0.00016,<keras.optimizers.adam.Adam object at 0x0000023982C69C40>,35,0.97,35.51738422822891,8.140261079198972,23.992802994235667,1.6810453684200506,0.7276207977179138,0.08843620319138132,-0.02524553109773242,0.06252683363649321
20,59,relu,2e-05,<keras.optimizers.adam.Adam object at 0x00000239EDCD7760>,27,0.29,30.004135127028395,6.842211671686917,19.022555131616155,2.1073619968568407,0.5736115846711707,0.05722635473471578,0.26492586086791664,0.07514154276158569
21,38,relu,0.00047,<keras.optimizers.adam.Adam object at 0x0000023983A441C0>,35,0.8,30.84555097931825,7.3967877723126145,20.367634609088398,1.7341395280316096,0.6157369081384533,0.06318367312905249,0.22836503667956523,0.06418537014118081
22,51,relu,0.00055,<keras.optimizers.adam.Adam object at 0x00000239816A5280>,37,0.35,30.121736892871276,7.030159459562708,19.107456524933085,1.9241567176399197,0.5757999576172355,0.048068931390277674,0.2621931345696451,0.06053920790202636
23,12,relu,0.00064,<keras.optimizers.adam.Adam object at 0x00000239832C5580>,35,0.93,34.88665835243447,8.294680816014024,23.52357180921081,1.6945446641438122,0.7138050597057621,0.09144120745775777,0.010946190759929397,0.0867935598221813
24,63,relu,0.00018,<keras.optimizers.adam.Adam object at 0x00000239FB829760>,31,0.03,30.64270858872377,6.2123899804945575,19.587577299744474,1.5368133534317916,0.5952541491383642,0.08583755257853876,0.21731683942495156,0.139966365179628
