,neurons_layer,activation_layer,learning_rate,optimizer,dropout,batch_size,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
22,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DFF4DE20>,0.52,18,31.395546668058074,6.890908023172068,19.868599584757114,2.0752313504820132,0.6004685017044891,0.0691837966725951,0.19242506651366156,0.08787122560733172
23,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D11D11C0>,0.17,18,30.813012711423273,6.834151736484505,19.405330229584685,1.83306793860943,0.5874285779346622,0.07170790407251786,0.2178280300135531,0.11464942182437036
24,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0FBECD0>,0.45,18,30.94427780684847,6.822533570064788,19.546853706338048,1.9713453602308195,0.5899428043434669,0.058882006345952,0.21658383490868466,0.07271328262230858
25,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CBF63580>,0.74,18,30.18061050868077,7.304595111754285,19.21278427878236,1.8005029704591726,0.5807541734787025,0.06293213208787664,0.2609426376436441,0.06764145739187548
26,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0FB58B0>,0.11,18,30.48448305587845,7.050072099368723,19.05981047410591,1.884712486458461,0.5748999421362657,0.05268389404738329,0.24388957420746182,0.05871256227713182
27,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D570DD00>,0.93,18,35.033370941883454,9.02459334602416,23.353931389680874,3.0532132985433185,0.6990471641405346,0.02919127242617079,0.021082944190218344,0.04863264498121115
28,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D4414190>,0.94,18,34.57741126798694,8.860136382288012,23.115538119880206,2.8007807530355286,0.6941521206914875,0.048080664910602984,0.04125443313501964,0.06647526794857894
29,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D6F36BE0>,0.67,18,30.144802470987315,7.162186312215864,19.17010224013547,1.9530241563983546,0.5793732500640378,0.0656302097100082,0.25833005434345824,0.09091587910297279
30,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239C9B46400>,0.03,18,30.50937326898811,7.088522293684261,19.10229074775783,2.2699124343258585,0.5745414567747245,0.047444497598644,0.2419602727267048,0.06884987851737451
31,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DA767E20>,0.33,18,31.164253691961655,6.67251255116793,19.82994579863704,1.7872157872361398,0.599155628301399,0.06067687308368264,0.20049757100885426,0.0977609148691034
32,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D05875B0>,0.54,18,31.0869754011213,6.607239623726484,19.663467595000675,1.8414543435222857,0.5945329227586343,0.06591294810453463,0.20345524644156537,0.10104930548891282
33,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CEC74820>,0.25,18,30.973989182572076,6.6348815479187095,19.462643892079395,1.647204264150224,0.5907649723763623,0.0816268907799334,0.20416065783014198,0.13753217530668474
34,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0E5A3A0>,0.42,18,30.64308815204228,6.790406579460735,19.510079143717398,1.7324599244701542,0.5905096523760099,0.06887879739627781,0.22570013965760433,0.11753442817071376
35,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DAA3B9D0>,0.72,18,30.301915616834624,7.172060465717948,19.250490980678133,1.665992024032339,0.5824146762023041,0.06467570405151772,0.2482630453917533,0.10449388852452648
36,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D71E2400>,0.7,18,30.841489097615614,7.3661762533264605,19.54248117395476,2.065644056449617,0.5898862937959584,0.06187476283833022,0.22605683292683798,0.08829234870877964
37,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D7143B50>,0.89,18,31.45022351525274,7.906863804120566,20.56224706406687,2.104609409398622,0.6203350081261924,0.06020910774549038,0.20314265764666056,0.05254601625187684
38,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239DFE46E80>,0.75,18,30.49715086358567,7.265149506331172,19.45773001348271,1.5432824222940413,0.5903610746816776,0.07761516598219313,0.2418783071694909,0.0871316213208382
39,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CEBEADF0>,0.1,18,30.778409410609804,6.635906486748067,19.235836454154622,1.536002667175501,0.5827352802450657,0.06905074089584563,0.2181025488065796,0.11155553745026764
40,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239D0A6D100>,0.66,18,31.00411069534048,7.306213995283729,19.883111460536135,2.0593690604014774,0.5991336293120272,0.051530550507903915,0.21974436349938883,0.05607528074438639
41,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239CDB16A60>,0.65,18,30.306365479396923,7.435595928411974,19.421474072278716,1.7130544523371851,0.5885022010685887,0.07414210805377637,0.25267608251451357,0.09009074273101782
42,94,softplus,0.00014,<keras.optimizers.nadam.Nadam object at 0x00000239EDCD7940>,0.39,18,31.274400582912488,6.868411310567271,19.67849631644542,1.777927981472465,0.5952817142413107,0.06711880560996884,0.19707874205263567,0.0941931825512372
